guid,nyu.libraries.collection,dc.title,dc.identifier,dc.source,dc.language,dc.extent,dc.extent,dc.coverage.temporal,dc.coverage.temporal,dc.accrualPeriodicity,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.spatial,dc.coverage.jurisdiction
aggregatedNewspapers210,AggregatedNewspapers,"Chillicothe Gazette",,"Access World News",,,,04/24/2003,,,,,,,
aggregatedNewspapers211,AggregatedNewspapers,"Chilliwack Progress, The",,"Access World News",,,"Full-text: electronic edition of record of publication",05/21/2004,,,,,,,
aggregatedNewspapers212,AggregatedNewspapers,"China Post",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",12/24/2002,,,,,,,
aggregatedNewspapers213,AggregatedNewspapers,"Chinook Observer",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers214,AggregatedNewspapers,"Chowchilla News",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers215,AggregatedNewspapers,"Christchurch Press, The",,"Access World News",,"FT-AIW","Full-text: electronic edition of record of publication",12/23/2002,,,,,,,
aggregatedNewspapers216,AggregatedNewspapers,"Chronicle, The",,"Access World News",,,,10/09/1999,,,,,,,
aggregatedNewspapers217,AggregatedNewspapers,"Chronicle, The",,"Access World News",,,,07/31/2006,,,,,,,
aggregatedNewspapers218,AggregatedNewspapers,"Chronicle, The",,"Access World News",,,,10/31/2002,,,,,,,
aggregatedNewspapers219,AggregatedNewspapers,"Chronicle-Tribune",,"Access World News",,,,01/11/1999,,,,,,,
aggregatedNewspapers220,AggregatedNewspapers,"Chung-Shih Wan-Pao",,"Access World News",,"BBC","Full-text: selected articles",04/23/2004,,,,,,,
aggregatedNewspapers221,AggregatedNewspapers,"Cincinnati Enquirer, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers222,AggregatedNewspapers,"Cincinnati Post, The",,"Access World News",,,,04/01/1990,,,,,,,
aggregatedNewspapers223,AggregatedNewspapers,"Citizen's Voice, The & Sunday Voice",,"Access World News",,,,09/11/2005,,,,,,,
aggregatedNewspapers224,AggregatedNewspapers,"Citizen-Standard, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers225,AggregatedNewspapers,"City North News",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",05/05/2005,,,,,,,
aggregatedNewspapers226,AggregatedNewspapers,"Claiborne Progress",,"Access World News",,,,09/07/2005,,,,,,,
aggregatedNewspapers227,AggregatedNewspapers,"Clarion-Ledger, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers228,AggregatedNewspapers,"Clear Lake Observer-American",,"Access World News",,,,09/13/2003,,,,,,,
aggregatedNewspapers229,AggregatedNewspapers,"Clearwater Times, The",,"Access World News",,,"Full-text: electronic edition of record of publication",05/24/2004,,,,,,,
aggregatedNewspapers230,AggregatedNewspapers,"Cleburne News, The",,"Access World News",,,,02/03/1999,,,,,,,
aggregatedNewspapers231,AggregatedNewspapers,"Cleveland Post",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers232,AggregatedNewspapers,"Clovis Independent, The",,"Access World News",,,,,,,,,,,
aggregatedNewspapers233,AggregatedNewspapers,"Clovis News Journal",,"Access World News",,,,,,,,,,,
aggregatedNewspapers234,AggregatedNewspapers,"CNW Group",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers235,AggregatedNewspapers,"CNW Group (French version)",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers236,AggregatedNewspapers,"Coalinga Record",,"Access World News",,,,05/06/2003,,,,,,,
aggregatedNewspapers237,AggregatedNewspapers,"Coastal Observer",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers238,AggregatedNewspapers,"Coeur d'Alene Press, The",,"Access World News",,,,09/30/2003,,,,,,,
aggregatedNewspapers239,AggregatedNewspapers,"Collingwood Connection",,"Access World News",,,"Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers240,AggregatedNewspapers,"Colonial Beach News",,"Access World News",,,,,,,,,,,
aggregatedNewspapers241,AggregatedNewspapers,"Columbia Daily Tribune",,"Access World News",,,,01/01/1998,,,,,,,
aggregatedNewspapers242,AggregatedNewspapers,"Columbian, The",,"Access World News",,,,06/01/1994,,,,,,,
aggregatedNewspapers243,AggregatedNewspapers,"Columbus Dispatch, The",,"Access World News",,,,01/01/1991,,,,,,,
aggregatedNewspapers244,AggregatedNewspapers,"Columbus Ledger-Enquirer",,"Access World News",,,,01/01/1993,,,,,,,
aggregatedNewspapers245,AggregatedNewspapers,"Columbus Telegram",,"Access World News",,,,,,,,,,,
aggregatedNewspapers246,AggregatedNewspapers,"Commercial Appeal, The",,"Access World News",,,,01/01/1990,,,,,,,
aggregatedNewspapers247,AggregatedNewspapers,"Commercial Press",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers248,AggregatedNewspapers,"Comox Valley Record",,"Access World News",,,"Full-text: electronic edition of record of publication",05/19/2004,,,,,,,
aggregatedNewspapers249,AggregatedNewspapers,"CompanynewsGroup",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers250,AggregatedNewspapers,"Computerwire",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers251,AggregatedNewspapers,"Computing",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",04/07/2005,,,,,,,
aggregatedNewspapers252,AggregatedNewspapers,"Concord Monitor",,"Access World News",,,,10/01/2002,,,,,,,
aggregatedNewspapers253,AggregatedNewspapers,"Concord Transcript",,"Access World News",,,,01/04/1996,,,,,,,
aggregatedNewspapers254,AggregatedNewspapers,"Connecticut Post",,"Access World News",,,,09/15/2001,,,,,,,
aggregatedNewspapers255,AggregatedNewspapers,"Contra Costa Sun",,"Access World News",,,,01/10/1996,,,,,,,
aggregatedNewspapers256,AggregatedNewspapers,"Contra Costa Times",,"Access World News",,,,06/01/1995,,,,,,,
aggregatedNewspapers257,AggregatedNewspapers,"Cornwall County Publications",,"Access World News",,,"Full-text: selected articles",10/30/2000,,,,,,,
aggregatedNewspapers258,AggregatedNewspapers,"Corpus Christi Caller-Times",,"Access World News",,,,01/04/2001,,,,,,,
aggregatedNewspapers259,AggregatedNewspapers,"Corriere della Sera",,"Access World News",,"BBC","Full-text: selected articles",04/19/1997,,,,,,,
aggregatedNewspapers260,AggregatedNewspapers,"Coshocton Tribune",,"Access World News",,,,09/07/2002,,,,,,,
aggregatedNewspapers261,AggregatedNewspapers,"Courier Mail, The/Sunday Mail, The",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers262,AggregatedNewspapers,"Courier, The",,"Access World News",,,,01/26/2000,,,,,,,
aggregatedNewspapers263,AggregatedNewspapers,"Courier, The",,"Access World News",,,,01/02/2001,,,,,,,
aggregatedNewspapers264,AggregatedNewspapers,"Courier-Journal, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers265,AggregatedNewspapers,"Courier-News",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers266,AggregatedNewspapers,"Courier-Post",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers267,AggregatedNewspapers,"Coventry Evening Telegraph",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",11/27/2000,,,,,,,
aggregatedNewspapers268,AggregatedNewspapers,"Cowichan News Leader",,"Access World News",,,"Full-text: electronic edition of record of publication",02/09/2005,,,,,,,
aggregatedNewspapers269,AggregatedNewspapers,"Cowichan News Leader Pictorial",,"Access World News",,,"Full-text: electronic edition of record of publication",09/29/2004,,,,,,,
aggregatedNewspapers270,AggregatedNewspapers,"Creston News-Advertiser",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers271,AggregatedNewspapers,"Culpeper Star-Exponent",,"Access World News",,,,,,,,,,,
aggregatedNewspapers272,AggregatedNewspapers,"Cumbria County Publications",,"Access World News",,,"Full-text: selected articles",01/17/1998,,,,,,,
aggregatedNewspapers273,AggregatedNewspapers,"Dagens Nyheter",,"Access World News",,"BBC","Full-text: selected articles",10/29/1997,,,,,,,
aggregatedNewspapers274,AggregatedNewspapers,"Daily Advance, The",,"Access World News",,,,04/27/2002,,,,,,,
aggregatedNewspapers275,AggregatedNewspapers,"Daily Advertiser, The",,"Access World News",,,,11/05/2001,,,,,,,
aggregatedNewspapers276,AggregatedNewspapers,"Daily Ardmoreite, The",,"Access World News",,,,12/01/2004,,,,,,,
aggregatedNewspapers277,AggregatedNewspapers,"Daily Astorian, The",,"Access World News",,,,12/30/2005,,,,,,,
aggregatedNewspapers278,AggregatedNewspapers,"Daily Breeze",,"Access World News",,,,03/01/1984,,,,,,,
aggregatedNewspapers279,AggregatedNewspapers,"Daily Camera",,"Access World News",,,,05/02/2001,,,,,,,
aggregatedNewspapers280,AggregatedNewspapers,"Daily Commercial, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers281,AggregatedNewspapers,"Daily Courier",,"Access World News",,,,03/01/2005,,,,,,,
aggregatedNewspapers282,AggregatedNewspapers,"Daily Courier-Observer",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers283,AggregatedNewspapers,"Daily Democrat, The",,"Access World News",,,,08/16/2004,,,,,,,
aggregatedNewspapers284,AggregatedNewspapers,"Daily Excelsior",,"Access World News",,"BBC","Full-text: selected articles",02/20/2000,,,,,,,
aggregatedNewspapers285,AggregatedNewspapers,"Daily Gazette, The",,"Access World News",,,,08/15/1997,,,,,,,
aggregatedNewspapers286,AggregatedNewspapers,"Daily Gazette, The/Sauk Valley Sunday",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers287,AggregatedNewspapers,"Daily Herald",,"Access World News",,,,01/01/1995,,,,,,,
aggregatedNewspapers288,AggregatedNewspapers,"Daily Herald, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers289,AggregatedNewspapers,"Daily Home, The",,"Access World News",,,,08/26/1998,,,,,,,
aggregatedNewspapers290,AggregatedNewspapers,"Daily Journal, The",,"Access World News",,,,04/18/2006,,,,,,,
aggregatedNewspapers291,AggregatedNewspapers,"Daily Journal, The",,"Access World News",,,,08/25/1999,,,,,,,
aggregatedNewspapers292,AggregatedNewspapers,"Daily Journal-Messenger",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers293,AggregatedNewspapers,"Daily Mail, The/The Mail on Sunday",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers294,AggregatedNewspapers,"Daily Messenger",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers295,AggregatedNewspapers,"Daily Mirror, The/ The Sunday Mirror",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",12/01/2000,,,,,,,
aggregatedNewspapers296,AggregatedNewspapers,"Daily News",,"Access World News",,,,07/06/1999,,,,,,,
aggregatedNewspapers297,AggregatedNewspapers,"Daily News",,"Access World News",,"BBC","Full-text: selected articles",12/25/2000,,,,,,,
aggregatedNewspapers298,AggregatedNewspapers,"Daily News Journal, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers299,AggregatedNewspapers,"Daily News Leader, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers300,AggregatedNewspapers,"Daily News of Los Angeles",,"Access World News",,,,10/01/1985,,,,,,,
aggregatedNewspapers301,AggregatedNewspapers,"Daily News, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers302,AggregatedNewspapers,"Daily News, The",,"Access World News",,,,,,,,,,,
aggregatedNewspapers303,AggregatedNewspapers,"Daily News, The",,"Access World News",,,,03/24/2000,,,,,,,
aggregatedNewspapers304,AggregatedNewspapers,"Daily News, The",,"Access World News",,,,09/15/2001,,,,,,,
aggregatedNewspapers305,AggregatedNewspapers,"Daily News, The",,"Access World News",,,,07/10/2000,,,,,,,
aggregatedNewspapers306,AggregatedNewspapers,"Daily News-Record, The",,"Access World News",,,,04/28/1993,,,,,,,
aggregatedNewspapers307,AggregatedNewspapers,"Daily Nida-i-Mashriq, The",,"Access World News",,"BBC","Full-text: selected articles",08/31/2002,,,,,,,
aggregatedNewspapers308,AggregatedNewspapers,"Daily Post",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",01/01/2002,,,,,,,
aggregatedNewspapers309,AggregatedNewspapers,"Daily Press",,"Access World News",,,,,,,,,,,
aggregatedNewspapers310,AggregatedNewspapers,"Daily Press",,"Access World News",,,,01/01/1989,,,,,,,
aggregatedNewspapers311,AggregatedNewspapers,"Daily Progress, The",,"Access World News",,,,,,,,,,,
aggregatedNewspapers312,AggregatedNewspapers,"Daily Record",,"Access World News",,,,01/07/2004,,,,,,,
aggregatedNewspapers313,AggregatedNewspapers,"Daily Record",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers314,AggregatedNewspapers,"Daily Record and The Sunday Mail ",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",11/26/2000,,,,,,,
aggregatedNewspapers315,AggregatedNewspapers,"Daily Record, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers316,AggregatedNewspapers,"Daily Reflector, The",,"Access World News",,,,04/02/1999,,,,,,,
aggregatedNewspapers317,AggregatedNewspapers,"Daily Reporter-Herald, The",,"Access World News",,,,11/01/2005,,,,,,,
aggregatedNewspapers318,AggregatedNewspapers,"Daily Review, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers319,AggregatedNewspapers,"Daily Review, The & Sunday Review",,"Access World News",,,,08/24/2005,,,,,,,
aggregatedNewspapers320,AggregatedNewspapers,"Daily Sentinel, The",,"Access World News",,,,05/07/2003,,,,,,,
aggregatedNewspapers321,AggregatedNewspapers,"Daily Sentinel, The",,"Access World News",,,,04/28/2002,,,,,,,
aggregatedNewspapers322,AggregatedNewspapers,"Daily Sentinel, The",,"Access World News",,,,10/17/2005,,,,,,,
aggregatedNewspapers323,AggregatedNewspapers,"Daily Sentinel, The",,"Access World News",,,,08/31/2004,,,,,,,
aggregatedNewspapers324,AggregatedNewspapers,"Daily Southtown",,"Access World News",,,,07/31/2004,,,,,,,
aggregatedNewspapers325,AggregatedNewspapers,"Daily Star",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",07/31/2005,,,,,,,
aggregatedNewspapers326,AggregatedNewspapers,"Daily Star, The",,"Access World News",,"BBC","Full-text: selected articles",01/11/1999,,,,,,,
aggregatedNewspapers327,AggregatedNewspapers,"Daily Telegram, The",,"Access World News",,,,05/19/2006,,,,,,,
aggregatedNewspapers328,AggregatedNewspapers,"Daily Telegraph",,"Access World News",,"NewsLimited","Full-text: electronic edition of record of publication",01/01/1998,,,,,,,
aggregatedNewspapers329,AggregatedNewspapers,"Daily Telegraph, The/The Sunday Telegraph ",,"Access World News",,"FT-EIW","Full-text: electronic edition of record of publication",10/01/2000,,,,,,,
aggregatedNewspapers330,AggregatedNewspapers,"Daily Times, The",,"Access World News",,,,01/01/1999,,,,,,,
aggregatedNewspapers331,AggregatedNewspapers,"Daily Times, The",,"Access World News",,,,02/16/2004,,,,,,,
aggregatedNewspapers332,AggregatedNewspapers,"Daily Times, The",,"Access World News",,,,12/01/2003,,,,,,,
aggregatedNewspapers333,AggregatedNewspapers,"Daily Times-Call, The",,"Access World News",,,,10/01/2005,,,,,,,
aggregatedNewspapers334,AggregatedNewspapers,"Daily Tribune",,"Access World News",,,,02/11/2003,,,,,,,
aggregatedNewspapers335,AggregatedNewspapers,"Daily World",,"Access World News",,,,02/09/2004,,,,,,,
aggregatedNewspapers336,AggregatedNewspapers,"Daily World, The",,"Access World News",,,,01/20/2005,,,,,,,
aggregatedNewspapers337,AggregatedNewspapers,"Dainik Janakantha",,"Access World News",,"BBC","Full-text: selected articles",06/12/2003,,,,,,,
aggregatedNewspapers338,AggregatedNewspapers,"Dallas Morning News, The",,"Access World News",,,,08/12/1984,,,,,,,
aggregatedNewspapers339,AggregatedNewspapers,"Dalles Chronicle, The",,"Access World News",,,,"TBD",,,,,,,
aggregatedNewspapers340,AggregatedNewspapers,"Danville Register & Bee",,"Access World News",,,,,,,,,,,
aggregatedNewspapers341,AggregatedNewspapers,"Datamonitor",,"Access World News",,"Comtex News Network","Full-text: electronic edition of record of publication","TBD",,,,,,,
aggregatedNewspapers342,AggregatedNewspapers,"Day, The",,"Access World News",,,,07/24/2003,,,,,,,
aggregatedNewspapers343,AggregatedNewspapers,"Dayton Daily News",,"Access World News",,,,01/01/1990,,,,,,,
aggregatedNewspapers344,AggregatedNewspapers,"Daytona Beach News-Journal",,"Access World News",,,,04/01/1996,,,,,,,
aggregatedNewspapers345,AggregatedNewspapers,"DDP News Agency",,"Access World News",,"BBC","Full-text: selected articles",03/29/1997,,,,,,,
aggregatedNewspapers346,AggregatedNewspapers,"De Standaard",,"Access World News",,"BBC","Full-text: selected articles",12/14/2000,,,,,,,
aggregatedNewspapers347,AggregatedNewspapers,"Decatur Daily, The",,"Access World News",,,,"TBD",,,,,,,
